Company Name,Reviews,Salaries,Interviews,Jobs,Industry,Primary_City,Num_Other_Locations
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
Infosys,42200.0,480000.0,7800.0,1500.0,IT Services & Consulting,Bengaluru,227
ICICI Bank,41200.0,150000.0,2500.0,,Banking,Mumbai,1391
HCLTech,38900.0,340000.0,4000.0,351.0,IT Services & Consulting,Chennai,216
Tech Mahindra,37500.0,270000.0,4000.0,414.0,IT Services & Consulting,Hyderabad,318
Genpact,35000.0,210000.0,3300.0,681.0,IT Services & Consulting,Hyderabad,160
Teleperformance,31800.0,91600.0,1900.0,332.0,BPO,Mumbai,245
Concentrix Corporation,28100.0,120000.0,1700.0,140.0,BPO,Bengaluru,164
Axis Bank,27600.0,100000.0,1600.0,223.0,Banking,Mumbai,1412
Amazon,26700.0,130000.0,5200.0,2600.0,Internet,Bengaluru,497
Jio,25100.0,61200.0,2100.0,50.0,Telecom,Mumbai,1416
iEnergizer,24200.0,22800.0,718.0,326.0,BPO,Noida,44
Reliance Retail,23800.0,65800.0,1600.0,106.0,Retail,Mumbai,1086
IBM,23200.0,200000.0,2400.0,1500.0,IT Services & Consulting,Bengaluru,245
LTIMindtree,22400.0,180000.0,3000.0,503.0,IT Services & Consulting,Bengaluru,133
TCS,96300.0,910000.0,10900.0,173.0,IT Services & Consulting,Bengaluru,413
Accenture,61800.0,600000.0,8500.0,9600.0,IT Services & Consulting,Bengaluru,224
Wipro,56400.0,459999.99999999994,5900.0,6600.0,IT Services & Consulting,Bengaluru,357
Cognizant,53600.0,580000.0,5800.0,410.0,IT Services & Consulting,Hyderabad,211
Capgemini,45200.0,450000.0,5000.0,1700.0,IT Services & Consulting,Bengaluru,171
HDFC Bank,42600.0,140000.0,2400.0,170.0,Banking,Mumbai,1688
